0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6,6.1,6.2,6.3,6.4,6.5,6.6,6.7,6.8,6.9,7,7.1,7.2,7.3,7.4,7.5,7.6,7.7,7.8,7.9,8,8.1,8.2,8.3,8.4,8.5,8.6,8.7,8.8,8.9,9,9.1,9.2,9.3,9.4,9.5,9.6,9.7,9.8,9.9,10
47,43,43,43,43,43,42,42,42,42,42,42,42,42,42,42,42,42,42,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
3.23842,5.9188,8.53447,11.176,13.6897,16.245,18.8253,21.4033,24.0554,26.6214,29.313,32.0766,34.8463,37.3514,40.1171,42.6296,45.3503,47.968,50.4312,52.8015,55.3189,57.8204,60.4187,62.9593,65.368,67.8041,70.4251,73.1321,75.7854,78.3281,80.8929,83.6263,86.1732,88.9587,91.8081,94.4357,97.1318,99.6052,102.269,104.656,107.144,109.784,112.146,114.549,117.096,119.8,122.592,125.224,127.88,130.481,132.944,135.42,137.896,140.447,143.093,145.802,148.401,150.907,153.408,155.88,158.353,160.83,163.315,165.792,168.28,170.752,173.168,175.683,178.19,180.629,183.032,185.451,187.838,190.3,192.771,195.213,197.619,200.03,202.472,204.936,207.395,209.833,212.278,214.686,217.143,219.52,221.979,224.4,226.85,229.288,231.728,234.206,236.606,238.966,241.327,243.781,246.219,248.693,251.057,253.523,255.889
0,2.5162e-07,5.62483e-07,1.01721e-06,1.72612e-06,2.83747e-06,4.55009e-06,7.12878e-06,1.09191e-05,1.63659e-05,2.40328e-05,3.46247e-05,4.90121e-05,6.82563e-05,9.36344e-05,0.000126664,0.000169122,0.000223065,0.000290831,0.000375048,0.00047861,0.000604654,0.000756522,0.000937698,0.00115173,0.00140213,0.00169226,0.00202521,0.00240364,0.00282966,0.00330462,0.00382899,0.0044022,0.00502251,0.00568686,0.00639082,0.00712851,0.0078926,0.00867431,0.00946354,0.010249,0.0110182,0.0117582,0.0124554,0.0130959,0.0136663,0.0141537,0.014546,0.0148329,0.0150056,0.0150574,0.0149842,0.0147842,0.0144585,0.0140111,0.0134486,0.0127801,0.0120174,0.0111741,0.0102656,0.00930855,0.00832036,0.00731872,0.00632109,0.0053442,0.00440358,0.00351323,0.00268519,0.00192935,0.00125326,0.000662031,0.000158333,-0.000257506,-0.000587352,-0.000835049,-0.00100615,-0.00110758,-0.00114733,-0.00113413,-0.00107706,-0.00098531,-0.00086781,-0.000733037,-0.000588781,-0.000441989,-0.000298646,-0.000163717,-4.11155e-05,6.6273e-05,0.000156542,0.000228686,0.000282499,0.000318466,0.000337638,0.000341517,0.000331938,0.000310956,0.000280752,0.000243544,0.000201515,0.000156753
-0,1.68681e-07,3.94137e-07,7.41958e-07,1.29745e-06,2.1758e-06,3.5356e-06,5.58816e-06,8.61515e-06,1.29873e-05,1.91827e-05,2.781e-05,3.96329e-05,5.55989e-05,7.68675e-05,0.000104839,0.000141181,0.000187852,0.000247124,0.000321591,0.000414143,0.000527981,0.000666597,0.000833742,0.00103337,0.00126958,0.0015465,0.00186821,0.00223861,0.00266126,0.00313922,0.00367488,0.00426978,0.00492442,0.00563809,0.00640872,0.00723274,0.00810499,0.00901865,0.00996525,0.0109347,0.0119152,0.0128938,0.0138562,0.014787,0.0156704,0.0164903,0.0172306,0.0178759,0.0184119,0.0188256,0.019106,0.0192445,0.0192349,0.019074,0.0187615,0.0183002,0.0176961,0.0169581,0.0160982,0.0151306,0.0140718,0.0129401,0.011755,0.0105366,0.00930522,0.00808078,0.00688225,0.00572723,0.00463151,0.00360878,0.00267031,0.0018248,0.00107829,0.000434113,-0.000106994,-0.000546692,-0.000888909,-0.00113946,-0.00130575,-0.00139639,-0.00142083,-0.00138904,-0.00131113,-0.00119709,-0.00105649,-0.000898299,-0.000730685,-0.000560875,-0.000395069,-0.000238388,-9.48677e-05,3.25099e-05,0.000141748,0.000231743,0.000302169,0.000353364,0.000386212,0.000402035,0.000402494,0.000389501
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0
1,0.999984,0.999938,0.999861,0.999755,0.99962,0.999457,0.999269,0.999056,0.998821,0.998566,0.998292,0.998003,0.9977,0.997385,0.997062,0.996732,0.996397,0.99606,0.995722,0.995386,0.995053,0.994725,0.994402,0.994087,0.99378,0.993482,0.993194,0.992916,0.992649,0.992393,0.992148,0.991913,0.99169,0.991477,0.991275,0.991083,0.990901,0.990728,0.990564,0.990408,0.990261,0.990121,0.989989,0.989863,0.989745,0.989632,0.989525,0.989424,0.989329,0.989238,0.989153,0.989072,0.988997,0.988925,0.988859,0.988796,0.988739,0.988685,0.988636,0.988591,0.98855,0.988514,0.988482,0.988455,0.988432,0.988414,0.9884,0.98839,0.988386,0.988386,0.988391,0.988401,0.988416,0.988435,0.98846,0.98849,0.988526,0.988566,0.988612,0.988662,0.988718,0.988779,0.988845,0.988916,0.988991,0.989071,0.989154,0.989242,0.989333,0.989427,0.989523,0.989621,0.989721,0.989821,0.989921,0.99002,0.990118,0.990213,0.990304,0.990392
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.496106,0.496106,0.496106,0.496107,0.496107,0.496107,0.496108,0.496108,0.49611,0.496112,0.496115,0.496119,0.496124,0.496133,0.496144,0.496159,0.49618,0.496207,0.496242,0.496287,0.496346,0.496419,0.496511,0.496626,0.496766,0.496937,0.497143,0.49739,0.497682,0.498025,0.498426,0.498889,0.49942,0.500023,0.500704,0.501465,0.50231,0.503238,0.504251,0.505345,0.506517,0.507761,0.509069,0.51043,0.511831,0.513258,0.514695,0.516122,0.517519,0.518865,0.520139,0.521318,0.52238,0.523304,0.524071,0.524663,0.525066,0.525267,0.525259,0.525035,0.524597,0.523947,0.523093,0.522047,0.520826,0.519447,0.517933,0.516308,0.514599,0.512834,0.511041,0.509246,0.507477,0.505759,0.504115,0.502564,0.501125,0.49981,0.49863,0.497592,0.496699,0.49595,0.495341,0.494868,0.494521,0.49429,0.494162,0.494125,0.494165,0.494268,0.494421,0.494611,0.494826,0.495054,0.495286,0.495513,0.495729,0.495928,0.496106,0.49626,0.496388
0.500008,0.500008,0.500008,0.500008,0.500009,0.50001,0.500011,0.500013,0.500016,0.500019,0.500024,0.50003,0.500039,0.50005,0.500063,0.500081,0.500103,0.500129,0.500161,0.500199,0.500244,0.500297,0.500357,0.500425,0.5005,0.500584,0.500674,0.500771,0.500871,0.500975,0.501078,0.501178,0.501272,0.501356,0.501426,0.501477,0.501505,0.501506,0.501475,0.501408,0.501303,0.501157,0.500969,0.500738,0.500467,0.500157,0.499813,0.49944,0.499047,0.498641,0.498231,0.497829,0.497446,0.497092,0.496779,0.496518,0.496316,0.496183,0.496125,0.496144,0.496244,0.496424,0.496679,0.497005,0.497392,0.497832,0.498311,0.498818,0.499338,0.499856,0.500359,0.500833,0.501267,0.50165,0.501974,0.502232,0.502421,0.502539,0.502588,0.502571,0.502493,0.502362,0.502186,0.501975,0.501737,0.501484,0.501224,0.500966,0.500718,0.500488,0.50028,0.500098,0.499945,0.499821,0.499728,0.499662,0.499623,0.499607,0.49961,0.49963,0.499663
